,Sector,Company,BSE,Datetime,Open,High,Low,Close,Adj Close,Volume,current_price,Low_52,High_52
5611,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:18:00+05:30,3372.699951,3372.699951,3369.75,3369.75,3369.75,18,3339.55,1431.85,3420
5612,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:19:00+05:30,3370.5,3373.199951,3370.5,3373.199951,3373.199951,28,3339.55,1431.85,3420
5613,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:20:00+05:30,3373,3373,3373,3373,3373,1,3339.55,1431.85,3420
5614,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:21:00+05:30,3371.399902,3371.649902,3370.800049,3371.649902,3371.649902,31,3339.55,1431.85,3420
5615,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:22:00+05:30,3369,3369.649902,3368,3368.300049,3368.300049,96,3339.55,1431.85,3420
5616,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:23:00+05:30,3367.5,3367.5,3367,3367,3367,15,3339.55,1431.85,3420
5617,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:24:00+05:30,3368.949951,3370.199951,3368.5,3370.199951,3370.199951,32,3339.55,1431.85,3420
5618,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:25:00+05:30,3370,3370,3370,3370,3370,2,3339.55,1431.85,3420
5619,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:26:00+05:30,3371,3371,3370,3370,3370,13,3339.55,1431.85,3420
5620,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:27:00+05:30,3371.850098,3371.850098,3371.199951,3371.199951,3371.199951,8,3339.55,1431.85,3420
5621,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:28:00+05:30,3374.850098,3374.850098,3374.850098,3374.850098,3374.850098,10,3339.55,1431.85,3420
5622,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:29:00+05:30,3376.199951,3376.199951,3376.199951,3376.199951,3376.199951,5,3339.55,1431.85,3420
5623,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:30:00+05:30,3375.25,3375.25,3370.949951,3370.949951,3370.949951,5,3339.55,1431.85,3420
5624,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:31:00+05:30,3373.300049,3373.300049,3372.100098,3372.100098,3372.100098,8,3339.55,1431.85,3420
5625,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:32:00+05:30,3372.600098,3372.600098,3372.600098,3372.600098,3372.600098,5,3339.55,1431.85,3420
5626,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:33:00+05:30,3371.949951,3371.949951,3368,3368,3368,13,3339.55,1431.85,3420
5627,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:34:00+05:30,3366.050049,3366.050049,3359.399902,3359.399902,3359.399902,162,3339.55,1431.85,3420
5628,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:35:00+05:30,3357.5,3359.399902,3353.350098,3355.699951,3355.699951,166,3339.55,1431.85,3420
5629,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:36:00+05:30,3355.699951,3356.350098,3351.699951,3356.350098,3356.350098,103,3339.55,1431.85,3420
5630,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:37:00+05:30,3356.350098,3358.300049,3356.350098,3358.300049,3358.300049,38,3339.55,1431.85,3420
5631,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:38:00+05:30,3355.800049,3357.649902,3355.199951,3356.850098,3356.850098,36,3339.55,1431.85,3420
5632,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:39:00+05:30,3358.149902,3359.899902,3357.600098,3359.899902,3359.899902,52,3339.55,1431.85,3420
5633,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:40:00+05:30,3358.600098,3358.600098,3356.100098,3356.100098,3356.100098,68,3339.55,1431.85,3420
5634,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:41:00+05:30,3351.5,3351.649902,3350,3351.649902,3351.649902,38,3339.55,1431.85,3420
5635,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:42:00+05:30,3349.550049,3350.399902,3348.550049,3350.399902,3350.399902,30,3339.55,1431.85,3420
5636,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:43:00+05:30,3349.600098,3353.699951,3349.600098,3353.100098,3353.100098,31,3339.55,1431.85,3420
5637,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:44:00+05:30,3350.850098,3350.850098,3348.399902,3348.399902,3348.399902,8,3339.55,1431.85,3420
5638,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:45:00+05:30,3348.050049,3352.800049,3348.050049,3352.800049,3352.800049,64,3339.55,1431.85,3420
5639,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:46:00+05:30,3353.25,3353.25,3348.649902,3348.649902,3348.649902,12,3339.55,1431.85,3420
5640,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:47:00+05:30,3349.149902,3349.149902,3345,3345,3345,21,3339.55,1431.85,3420
5641,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:48:00+05:30,3345,3345.5,3345,3345.5,3345.5,17,3339.55,1431.85,3420
5642,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:49:00+05:30,3344.399902,3345,3340,3340,3340,63,3339.55,1431.85,3420
5643,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:50:00+05:30,3340,3341.949951,3340,3340.5,3340.5,25,3339.55,1431.85,3420
5644,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:51:00+05:30,3339.800049,3342,3336.699951,3341.25,3341.25,107,3339.55,1431.85,3420
5645,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:52:00+05:30,3339,3339,3339,3339,3339,5,3339.55,1431.85,3420
5646,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:53:00+05:30,3336.75,3336.75,3333.850098,3334.5,3334.5,36,3339.55,1431.85,3420
5647,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:54:00+05:30,3334.5,3334.5,3334.5,3334.5,3334.5,1,3339.55,1431.85,3420
5648,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:55:00+05:30,3336.600098,3337.199951,3335,3336.449951,3336.449951,537,3339.55,1431.85,3420
5649,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:56:00+05:30,3335,3336.449951,3335,3335.649902,3335.649902,44,3339.55,1431.85,3420
5650,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:57:00+05:30,3339.949951,3339.949951,3336.850098,3337.100098,3337.100098,61,3339.55,1431.85,3420
5651,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:58:00+05:30,3338.850098,3338.850098,3335.949951,3335.949951,3335.949951,5,3339.55,1431.85,3420
5652,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:59:00+05:30,3339,3339.699951,3337.050049,3339.699951,3339.699951,119,3339.55,1431.85,3420
5653,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:01:00+05:30,3338.949951,3339.75,3338.949951,3339.75,3339.75,22,3339.55,1431.85,3420
5654,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:02:00+05:30,3337.550049,3337.550049,3335,3337.050049,3337.050049,68,3339.55,1431.85,3420
5655,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:03:00+05:30,3338.350098,3338.949951,3336.649902,3336.649902,3336.649902,66,3339.55,1431.85,3420
5656,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:04:00+05:30,3337.550049,3337.550049,3337.300049,3337.300049,3337.300049,36,3339.55,1431.85,3420
5657,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:05:00+05:30,3337.300049,3337.300049,3337.300049,3337.300049,3337.300049,27,3339.55,1431.85,3420
5658,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:06:00+05:30,3333,3333.449951,3333,3333.449951,3333.449951,6,3339.55,1431.85,3420
5659,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:07:00+05:30,3332.100098,3332.199951,3327.75,3330.600098,3330.600098,542,3339.55,1431.85,3420
5660,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:08:00+05:30,3330.550049,3331.350098,3330.100098,3331.350098,3331.350098,55,3339.55,1431.85,3420
5661,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:09:00+05:30,3330.600098,3330.600098,3329.050049,3329.25,3329.25,30,3339.55,1431.85,3420
5662,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:10:00+05:30,3329,3334.149902,3329,3334.149902,3334.149902,428,3339.55,1431.85,3420
5663,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:11:00+05:30,3331.050049,3331.050049,3331.050049,3331.050049,3331.050049,1,3339.55,1431.85,3420
5664,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:12:00+05:30,3329.399902,3329.399902,3324.449951,3324.800049,3324.800049,41,3339.55,1431.85,3420
5665,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:13:00+05:30,3324.850098,3328.149902,3324.850098,3328,3328,56,3339.55,1431.85,3420
5666,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:14:00+05:30,3328.100098,3331,3328.100098,3329.149902,3329.149902,63,3339.55,1431.85,3420
5667,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:15:00+05:30,3330.399902,3330.449951,3328,3330,3330,6,3339.55,1431.85,3420
5668,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:16:00+05:30,3323.550049,3329.75,3323.550049,3329.550049,3329.550049,830,3339.55,1431.85,3420
5669,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:17:00+05:30,3322.850098,3328.600098,3322.850098,3327.25,3327.25,767,3339.55,1431.85,3420
5670,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:18:00+05:30,3328.649902,3329.149902,3328.649902,3329.149902,3329.149902,8,3339.55,1431.85,3420
5671,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:19:00+05:30,3328.600098,3329.75,3327.800049,3327.800049,3327.800049,34,3339.55,1431.85,3420
5672,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:20:00+05:30,3329,3329.600098,3329,3329.100098,3329.100098,65,3339.55,1431.85,3420
5673,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:21:00+05:30,3327.100098,3328.449951,3325,3325,3325,112,3339.55,1431.85,3420
5674,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:22:00+05:30,3322,3324.550049,3321.850098,3324.550049,3324.550049,15,3339.55,1431.85,3420
5675,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:23:00+05:30,3324.449951,3324.449951,3322.649902,3324.449951,3324.449951,11,3339.55,1431.85,3420
5676,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:24:00+05:30,3325.699951,3327.600098,3325.699951,3327.600098,3327.600098,11,3339.55,1431.85,3420
5677,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:25:00+05:30,3329.75,3329.75,3326.399902,3326.649902,3326.649902,23,3339.55,1431.85,3420
5678,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:26:00+05:30,3329.149902,3330.600098,3329.100098,3329.100098,3329.100098,39,3339.55,1431.85,3420
5679,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:27:00+05:30,3328.800049,3330,3328.800049,3330,3330,451,3339.55,1431.85,3420
5680,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:28:00+05:30,3329.100098,3330.550049,3329.100098,3329.199951,3329.199951,38,3339.55,1431.85,3420
5681,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:29:00+05:30,3330.75,3339,3330.75,3339,3339,784,3339.55,1431.85,3420
5682,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:30:00+05:30,3336.25,3340,3336.25,3339.899902,3339.899902,123,3339.55,1431.85,3420
5683,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:31:00+05:30,3340.899902,3348,3336.949951,3344.149902,3344.149902,756,3339.55,1431.85,3420
5684,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:32:00+05:30,3343.850098,3343.850098,3340.199951,3341,3341,28,3339.55,1431.85,3420
5685,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:33:00+05:30,3341.449951,3341.949951,3341.449951,3341.850098,3341.850098,61,3339.55,1431.85,3420
5686,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:34:00+05:30,3343.5,3343.5,3343.5,3343.5,3343.5,7,3339.55,1431.85,3420
5687,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:35:00+05:30,3341.899902,3343.100098,3341.399902,3343.100098,3343.100098,46,3339.55,1431.85,3420
5688,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:36:00+05:30,3341.5,3342.25,3340.800049,3340.800049,3340.800049,61,3339.55,1431.85,3420
5689,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:37:00+05:30,3340.800049,3342,3340.800049,3342,3342,10,3339.55,1431.85,3420
5690,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:39:00+05:30,3342.600098,3342.600098,3342,3342,3342,15,3339.55,1431.85,3420
5691,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:40:00+05:30,3343.100098,3347.800049,3343.100098,3347.800049,3347.800049,5,3339.55,1431.85,3420
5692,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:41:00+05:30,3347.949951,3347.949951,3345,3345,3345,25,3339.55,1431.85,3420
5693,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:42:00+05:30,3347.600098,3347.699951,3346.350098,3346.350098,3346.350098,11,3339.55,1431.85,3420
5694,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:43:00+05:30,3342,3342.649902,3340.649902,3342.050049,3342.050049,49,3339.55,1431.85,3420
5695,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:44:00+05:30,3340.800049,3346,3340.800049,3346,3346,9,3339.55,1431.85,3420
5696,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:45:00+05:30,3346.449951,3347.350098,3346.350098,3346.350098,3346.350098,13,3339.55,1431.85,3420
5697,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:46:00+05:30,3345,3346.25,3345,3346.25,3346.25,26,3339.55,1431.85,3420
5698,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:47:00+05:30,3346.25,3346.25,3344.5,3344.5,3344.5,35,3339.55,1431.85,3420
5699,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:48:00+05:30,3344.5,3345.449951,3341.649902,3341.649902,3341.649902,760,3339.55,1431.85,3420
5700,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:49:00+05:30,3342.899902,3343.199951,3341.649902,3343.199951,3343.199951,338,3339.55,1431.85,3420
5701,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:51:00+05:30,3342.199951,3346,3342.199951,3346,3346,19,3339.55,1431.85,3420
5702,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:53:00+05:30,3346.300049,3346.300049,3345.850098,3345.850098,3345.850098,8,3339.55,1431.85,3420
5703,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:54:00+05:30,3347.600098,3347.600098,3345.050049,3346.850098,3346.850098,16,3339.55,1431.85,3420
5704,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:55:00+05:30,3345,3345,3345,3345,3345,8,3339.55,1431.85,3420
5705,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:56:00+05:30,3343,3344.449951,3341.699951,3344.449951,3344.449951,22,3339.55,1431.85,3420
5706,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:57:00+05:30,3343.25,3346,3343.25,3346,3346,30,3339.55,1431.85,3420
5707,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:58:00+05:30,3346,3346,3346,3346,3346,28,3339.55,1431.85,3420
5708,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 14:59:00+05:30,3346.449951,3351.300049,3346.300049,3351.300049,3351.300049,97,3339.55,1431.85,3420
5709,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:00:00+05:30,3347.5,3350.199951,3346,3346.649902,3346.649902,34,3339.55,1431.85,3420
5710,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:01:00+05:30,3346,3346,3343.850098,3346,3346,8973,3339.55,1431.85,3420
5711,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:02:00+05:30,3340.850098,3340.850098,3327,3327,3327,136,3339.55,1431.85,3420
5712,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:03:00+05:30,3325,3326.050049,3320.300049,3320.699951,3320.699951,202,3339.55,1431.85,3420
5713,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:04:00+05:30,3320.050049,3323.800049,3317.449951,3323.800049,3323.800049,72,3339.55,1431.85,3420
5714,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:05:00+05:30,3322.399902,3322.800049,3320.25,3322.800049,3322.800049,18,3339.55,1431.85,3420
5715,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:06:00+05:30,3320,3322.600098,3320,3320.850098,3320.850098,119,3339.55,1431.85,3420
5716,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:07:00+05:30,3321.699951,3324.449951,3318.399902,3324.449951,3324.449951,49,3339.55,1431.85,3420
5717,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:08:00+05:30,3324.699951,3330.949951,3324.649902,3327.649902,3327.649902,76,3339.55,1431.85,3420
5718,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:09:00+05:30,3326.75,3328.899902,3323.899902,3326.25,3326.25,55,3339.55,1431.85,3420
5719,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:10:00+05:30,3326.300049,3328.25,3322,3324.149902,3324.149902,105,3339.55,1431.85,3420
5720,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:11:00+05:30,3322.149902,3323.149902,3320.399902,3322.75,3322.75,20,3339.55,1431.85,3420
5721,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:12:00+05:30,3321,3326,3321,3323.149902,3323.149902,24,3339.55,1431.85,3420
5722,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:13:00+05:30,3325.199951,3325.550049,3321.800049,3322.899902,3322.899902,144,3339.55,1431.85,3420
5723,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:14:00+05:30,3322.899902,3329.350098,3321.350098,3328.050049,3328.050049,25,3339.55,1431.85,3420
5724,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 15:15:00+05:30,3330.699951,3330.699951,3326,3326,3326,133,3339.55,1431.85,3420
